Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\temp_blends\template_instantiations\compositor_sizes__city_single-state_yr180__4.10__20260412_104824.blend"
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.90 | Compositing | Operation 14-15
Fra:1 Mem:22287.67M (Peak 23679.86M) | Time:00:00.96 | Compositing | Operation 15-15
Fra:1 Mem:22793.92M (Peak 23679.86M) | Time:00:01.35 | Compositing | Operation 16-15
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\city_single-state_yr180\sizes__20260412_104824\trending_medium.png'
Time: 00:04.41 (Saving: 00:03.05)

Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.01 | Compositing | Initializing execution
Fra:1 Mem:21907.98M (Peak 21907.98M) | Time:00:00.03 | Compositing | Operation 2-15
Fra:1 Mem:21907.98M (Peak 22034.54M) | Time:00:00.10 | Compositing | Operation 3-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.17 | Compositing | Operation 4-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.17 | Compositing | Operation 5-15
Fra:1 Mem:22287.67M (Peak 22414.23M) | Time:00:00.17 | Compositing | Operation 6-15
Fra:1 Mem:22414.23M (Peak 22414.23M) | Time:00:00.18 | Compositing | Operation 7-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.75 | Compositing | Operation 8-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.75 | Compositing | Operation 9-15
Fra:1 Mem:22414.23M (Peak 23679.86M) | Time:00:00.79 | Compositing | Operation 10-15
Fra:1 Mem:22034.54M (Peak 23679.86M) | Time:00:00.84 | Compositing | Operation 11-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.88 | Compositing | Operation 12-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.88 | Compositing | Operation 13-15
Fra:1 Mem:21907.98M (Peak 23679.86M) | Time:00:00.88 | Compositing | Operation 14-15
