Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\temp_blends\template_instantiations\compositor_bioenvelope__city_single-state_yr180__4.10__20260412_104824.blend"
Fra:1 Mem:24313.00M (Peak 24819.25M) | Time:00:03.52 | Compositing | Operation 107-248
Fra:1 Mem:24313.00M (Peak 24819.25M) | Time:00:03.52 | Compositing | Operation 108-248
Fra:1 Mem:24313.00M (Peak 24819.25M) | Time:00:03.65 | Compositing | Operation 109-248
Fra:1 Mem:24313.00M (Peak 24819.25M) | Time:00:03.77 | Compositing | Operation 110-248
Fra:1 Mem:24313.00M (Peak 24819.25M) | Time:00:03.90 | Compositing | Operation 111-248
Fra:1 Mem:24313.00M (Peak 24819.25M) | Time:00:03.90 | Compositing | Operation 112-248
Fra:1 Mem:24313.00M (Peak 24819.25M) | Time:00:03.90 | Compositing | Operation 113-248
Fra:1 Mem:24692.69M (Peak 24819.25M) | Time:00:03.96 | Compositing | Operation 114-248
Fra:1 Mem:24692.69M (Peak 25198.94M) | Time:00:04.04 | Compositing | Operation 115-248
Fra:1 Mem:24692.69M (Peak 25198.94M) | Time:00:04.04 | Compositing | Operation 116-248
Fra:1 Mem:24692.69M (Peak 25198.94M) | Time:00:04.04 | Compositing | Operation 117-248
Fra:1 Mem:24692.69M (Peak 25198.94M) | Time:00:04.04 | Compositing | Operation 118-248
Fra:1 Mem:24819.25M (Peak 25198.94M) | Time:00:04.07 | Compositing | Operation 119-248
Fra:1 Mem:24819.25M (Peak 25198.94M) | Time:00:04.07 | Compositing | Operation 120-248
Fra:1 Mem:25198.94M (Peak 25325.50M) | Time:00:04.14 | Compositing | Operation 121-248
Fra:1 Mem:25198.94M (Peak 25705.19M) | Time:00:04.25 | Compositing | Operation 122-248
Fra:1 Mem:25198.94M (Peak 25705.19M) | Time:00:04.25 | Compositing | Operation 123-248
Fra:1 Mem:25198.94M (Peak 25705.19M) | Time:00:04.25 | Compositing | Operation 124-248
Fra:1 Mem:25198.94M (Peak 25705.19M) | Time:00:04.25 | Compositing | Operation 125-248
Fra:1 Mem:25325.50M (Peak 25705.19M) | Time:00:04.28 | Compositing | Operation 126-248
Fra:1 Mem:25325.50M (Peak 25705.19M) | Time:00:04.28 | Compositing | Operation 127-248
Fra:1 Mem:25705.19M (Peak 25831.75M) | Time:00:04.35 | Compositing | Operation 128-248
Fra:1 Mem:25705.19M (Peak 26211.44M) | Time:00:04.43 | Compositing | Operation 129-248
Fra:1 Mem:25705.19M (Peak 26211.44M) | Time:00:04.43 | Compositing | Operation 130-248
Fra:1 Mem:25325.50M (Peak 26211.44M) | Time:00:04.47 | Compositing | Operation 131-248
Fra:1 Mem:24945.82M (Peak 26211.44M) | Time:00:04.52 | Compositing | Operation 132-248
