Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\temp_blends\template_instantiations\compositor_sizes__city_baseline_2input__20260411_1621.blend"
Fra:1 Mem:22034.55M (Peak 22161.12M) | Time:00:00.19 | Compositing | Operation 5-22
Fra:1 Mem:22414.24M (Peak 22540.80M) | Time:00:00.28 | Compositing | Operation 6-22
Fra:1 Mem:22793.93M (Peak 22920.49M) | Time:00:00.36 | Compositing | Operation 7-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:00.88 | Compositing | Operation 8-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.39 | Compositing | Operation 9-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.39 | Compositing | Operation 10-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.39 | Compositing | Operation 11-22
Fra:1 Mem:22920.49M (Peak 24059.55M) | Time:00:01.41 | Compositing | Operation 12-22
Fra:1 Mem:22920.49M (Peak 24059.55M) | Time:00:01.41 | Compositing | Operation 13-22
Fra:1 Mem:22540.80M (Peak 24059.55M) | Time:00:01.46 | Compositing | Operation 14-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.61 | Compositing | Operation 15-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.61 | Compositing | Operation 16-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.66 | Compositing | Operation 17-22
Fra:1 Mem:22034.55M (Peak 24059.55M) | Time:00:01.72 | Compositing | Operation 18-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.78 | Compositing | Operation 19-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.78 | Compositing | Operation 20-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.78 | Compositing | Operation 21-22
Fra:1 Mem:22287.68M (Peak 24059.55M) | Time:00:01.88 | Compositing | Operation 22-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:02.20 | Compositing | Operation 23-22
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.9\city_baseline\sizes__20260411_1621__2input-positive-priority\priority_snag.png'
Time: 00:04.99 (Saving: 00:02.78)

Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.01 | Compositing | Initializing execution
Fra:1 Mem:21907.99M (Peak 21907.99M) | Time:00:00.04 | Compositing | Operation 2-22
Fra:1 Mem:22034.55M (Peak 22034.55M) | Time:00:00.07 | Compositing | Operation 3-22
Fra:1 Mem:22034.55M (Peak 22161.12M) | Time:00:00.14 | Compositing | Operation 4-22
Fra:1 Mem:22034.55M (Peak 22161.12M) | Time:00:00.19 | Compositing | Operation 5-22
Fra:1 Mem:22414.24M (Peak 22540.80M) | Time:00:00.27 | Compositing | Operation 6-22
Fra:1 Mem:22793.93M (Peak 22920.49M) | Time:00:00.34 | Compositing | Operation 7-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:00.91 | Compositing | Operation 8-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.39 | Compositing | Operation 9-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.39 | Compositing | Operation 10-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.39 | Compositing | Operation 11-22
Fra:1 Mem:22920.49M (Peak 24059.55M) | Time:00:01.41 | Compositing | Operation 12-22
Fra:1 Mem:22920.49M (Peak 24059.55M) | Time:00:01.41 | Compositing | Operation 13-22
Fra:1 Mem:22540.80M (Peak 24059.55M) | Time:00:01.47 | Compositing | Operation 14-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.55 | Compositing | Operation 15-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.55 | Compositing | Operation 16-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.60 | Compositing | Operation 17-22
Fra:1 Mem:22034.55M (Peak 24059.55M) | Time:00:01.65 | Compositing | Operation 18-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.69 | Compositing | Operation 19-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.69 | Compositing | Operation 20-22
Fra:1 Mem:21907.99M (Peak 24059.55M) | Time:00:01.69 | Compositing | Operation 21-22
Fra:1 Mem:22287.68M (Peak 24059.55M) | Time:00:01.77 | Compositing | Operation 22-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:02.03 | Compositing | Operation 23-22
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.9\city_baseline\sizes__20260411_1621__2input-positive-priority\priority_senescing.png'
Time: 00:04.94 (Saving: 00:02.91)

Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.01 | Compositing | Initializing execution
Fra:1 Mem:21907.99M (Peak 21907.99M) | Time:00:00.04 | Compositing | Operation 2-22
Fra:1 Mem:22034.55M (Peak 22034.55M) | Time:00:00.07 | Compositing | Operation 3-22
Fra:1 Mem:22034.55M (Peak 22161.12M) | Time:00:00.14 | Compositing | Operation 4-22
Fra:1 Mem:22034.55M (Peak 22161.12M) | Time:00:00.21 | Compositing | Operation 5-22
Fra:1 Mem:22414.24M (Peak 22540.80M) | Time:00:00.30 | Compositing | Operation 6-22
Fra:1 Mem:22793.93M (Peak 22920.49M) | Time:00:00.37 | Compositing | Operation 7-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:00.91 | Compositing | Operation 8-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.41 | Compositing | Operation 9-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.41 | Compositing | Operation 10-22
Fra:1 Mem:22793.93M (Peak 24059.55M) | Time:00:01.41 | Compositing | Operation 11-22
Fra:1 Mem:22920.49M (Peak 24059.55M) | Time:00:01.42 | Compositing | Operation 12-22
Fra:1 Mem:22920.49M (Peak 24059.55M) | Time:00:01.42 | Compositing | Operation 13-22
Fra:1 Mem:22540.80M (Peak 24059.55M) | Time:00:01.46 | Compositing | Operation 14-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.53 | Compositing | Operation 15-22
Fra:1 Mem:22161.12M (Peak 24059.55M) | Time:00:01.53 | Compositing | Operation 16-22
