site,year,proposal_id,proposal_label,measure,metric_column,positive_value,trending_value,delta_trending_minus_positive,trending_pct_of_positive,positive_multiple_of_trending
trimmed-parade,60,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,0,0,,
trimmed-parade,60,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,492363,273458,-218905,55.539917,1.800507
trimmed-parade,60,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,332900,170432,-162468,51.196155,1.953272
trimmed-parade,90,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,44723,36,-44687,0.080495,1242.305556
trimmed-parade,90,decay,Decay,decay opportunity voxels,opportunity_voxel_count,60755,39,-60716,0.064192,1557.820513
trimmed-parade,90,decay,Decay,trees reaching senescence,opportunity_tree_count,408,21,-387,5.147059,19.428571
trimmed-parade,90,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,0,0,,
trimmed-parade,90,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,0,0,,
trimmed-parade,90,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,518726,247164,-271562,47.648277,2.098712
trimmed-parade,90,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,350433,143724,-206709,41.013261,2.438236
trimmed-parade,120,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,46403,36,-46367,0.077581,1288.972222
trimmed-parade,120,decay,Decay,decay opportunity voxels,opportunity_voxel_count,63183,39,-63144,0.061725,1620.076923
trimmed-parade,120,decay,Decay,trees reaching senescence,opportunity_tree_count,444,21,-423,4.72973,21.142857
trimmed-parade,120,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,0,0,,
trimmed-parade,120,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,0,0,,
trimmed-parade,120,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,543986,330185,-213801,60.697334,1.647519
trimmed-parade,120,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,376344,225681,-150663,59.966679,1.667593
trimmed-parade,150,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,47367,32,-47335,0.067558,1480.21875
trimmed-parade,150,decay,Decay,decay opportunity voxels,opportunity_voxel_count,64773,39,-64734,0.06021,1660.846154
trimmed-parade,150,decay,Decay,trees reaching senescence,opportunity_tree_count,444,21,-423,4.72973,21.142857
trimmed-parade,150,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,0,0,,
trimmed-parade,150,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,0,0,,
trimmed-parade,150,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,650012,398405,-251607,61.291945,1.631536
trimmed-parade,150,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,478064,293778,-184286,61.451605,1.627297
trimmed-parade,180,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,48750,33,-48717,0.067692,1477.272727
trimmed-parade,180,decay,Decay,decay opportunity voxels,opportunity_voxel_count,66650,39,-66611,0.058515,1708.974359
trimmed-parade,180,decay,Decay,trees reaching senescence,opportunity_tree_count,444,21,-423,4.72973,21.142857
trimmed-parade,180,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,0,0,,
trimmed-parade,180,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,0,0,,
trimmed-parade,180,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,607137,406600,-200537,66.970058,1.493205
trimmed-parade,180,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,440356,301137,-139219,68.384898,1.462311
uni,0,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,6025,126,-5899,2.091286,47.81746
uni,0,decay,Decay,decay opportunity voxels,opportunity_voxel_count,6910,175,-6735,2.532562,39.485714
uni,0,decay,Decay,trees reaching senescence,opportunity_tree_count,0,0,0,,
uni,0,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,0,0,,
