Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_futureSim_refactored\blender\compositor\canonical_templates\compositor_mist.blend"
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:04.21 | Compositing | Operation 104-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:04.40 | Compositing | Operation 105-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:04.56 | Compositing | Operation 106-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:04.56 | Compositing | Operation 107-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:04.71 | Compositing | Operation 108-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:04.86 | Compositing | Operation 109-133
Fra:1 Mem:7985.48M (Peak 9757.35M) | Time:00:04.89 | Compositing | Operation 110-133
Fra:1 Mem:7858.92M (Peak 9757.35M) | Time:00:04.92 | Compositing | Operation 111-133
Fra:1 Mem:7858.92M (Peak 9757.35M) | Time:00:04.92 | Compositing | Operation 112-133
Fra:1 Mem:8238.60M (Peak 9757.35M) | Time:00:04.97 | Compositing | Operation 113-133
Fra:1 Mem:8238.60M (Peak 9757.35M) | Time:00:04.97 | Compositing | Operation 114-133
Fra:1 Mem:8618.29M (Peak 9757.35M) | Time:00:05.02 | Compositing | Operation 115-133
Fra:1 Mem:8618.29M (Peak 9757.35M) | Time:00:05.02 | Compositing | Operation 116-133
Fra:1 Mem:8618.29M (Peak 9757.35M) | Time:00:05.08 | Compositing | Operation 117-133
Fra:1 Mem:8618.29M (Peak 9757.35M) | Time:00:05.08 | Compositing | Operation 118-133
Fra:1 Mem:8618.29M (Peak 9757.35M) | Time:00:05.15 | Compositing | Operation 119-133
Fra:1 Mem:8618.29M (Peak 9757.35M) | Time:00:05.22 | Compositing | Operation 120-133
Fra:1 Mem:8618.29M (Peak 9757.35M) | Time:00:05.30 | Compositing | Operation 121-133
Fra:1 Mem:8618.29M (Peak 9757.35M) | Time:00:05.30 | Compositing | Operation 122-133
Fra:1 Mem:8744.85M (Peak 9757.35M) | Time:00:05.33 | Compositing | Operation 123-133
Fra:1 Mem:8365.17M (Peak 9757.35M) | Time:00:05.37 | Compositing | Operation 124-133
Fra:1 Mem:8365.17M (Peak 9757.35M) | Time:00:05.37 | Compositing | Operation 125-133
Fra:1 Mem:7985.48M (Peak 9757.35M) | Time:00:05.41 | Compositing | Operation 126-133
Fra:1 Mem:7605.79M (Peak 9757.35M) | Time:00:05.46 | Compositing | Operation 127-133
Fra:1 Mem:7479.23M (Peak 9757.35M) | Time:00:05.53 | Compositing | Operation 128-133
Fra:1 Mem:7479.23M (Peak 9757.35M) | Time:00:05.53 | Compositing | Operation 129-133
Fra:1 Mem:7352.67M (Peak 9757.35M) | Time:00:05.58 | Compositing | Operation 130-133
Fra:1 Mem:7352.67M (Peak 9757.35M) | Time:00:05.58 | Compositing | Operation 131-133
Fra:1 Mem:7732.35M (Peak 9757.35M) | Time:00:05.66 | Compositing | Operation 132-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:05.71 | Compositing | Operation 133-133
Fra:1 Mem:8112.04M (Peak 9757.35M) | Time:00:06.24 | Compositing | Operation 134-133
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\mist__20260413_111317__positive\mist_kirsch_thin_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\mist__20260413_111317__positive\mist_kirsch_extra_thin_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\mist__20260413_111317__positive\mist_kirsch_fine_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\mist__20260413_111317__positive\_discard_render.png0001.png'
Time: 00:18.42 (Saving: 00:02.73)

[render_current_mist] repathed 'MistOutlines::EXR Input' -> parade_timeline__positive_state__8k.exr
[render_current_mist] resolution 7680x4320 from parade_timeline__positive_state__8k.exr
[render_current_mist] attached transient dummy camera
[render_current_mist] rebuilt 'MistOutlines::Outputs' in-memory (3 slots)
[render_current_mist] rendering animation (frame 1, 3 slots)...
[render_current_mist] render done
[render_current_mist] renamed mist_kirsch_extra_thin_0001.png -> mist_kirsch_extra_thin.png
[render_current_mist] renamed mist_kirsch_fine_0001.png -> mist_kirsch_fine.png
[render_current_mist] renamed mist_kirsch_thin_0001.png -> mist_kirsch_thin.png
[render_current_mist] 3/3 slots present

Blender quit
Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_futureSim_refactored\blender\compositor\canonical_templates\compositor_mist.blend"
Fra:1 Mem:5580.65M (Peak 5580.65M) | Time:00:00.00 | Compositing
Fra:1 Mem:5580.66M (Peak 5580.66M) | Time:00:00.00 | Compositing | Initializing execution
Fra:1 Mem:5707.34M (Peak 5707.34M) | Time:00:00.02 | Compositing | Operation 2-133
Fra:1 Mem:5833.91M (Peak 5833.91M) | Time:00:00.03 | Compositing | Operation 3-133
Fra:1 Mem:5833.91M (Peak 5960.47M) | Time:00:00.09 | Compositing | Operation 4-133
Fra:1 Mem:5833.91M (Peak 5960.47M) | Time:00:00.20 | Compositing | Operation 5-133
Fra:1 Mem:6213.59M (Peak 6340.16M) | Time:00:00.27 | Compositing | Operation 6-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.35 | Compositing | Operation 7-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.35 | Compositing | Operation 8-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.35 | Compositing | Operation 9-133
Fra:1 Mem:6213.59M (Peak 6719.84M) | Time:00:00.38 | Compositing | Operation 10-133
Fra:1 Mem:6213.59M (Peak 6719.84M) | Time:00:00.38 | Compositing | Operation 11-133
Fra:1 Mem:6213.59M (Peak 6719.84M) | Time:00:00.38 | Compositing | Operation 12-133
Fra:1 Mem:6340.16M (Peak 6719.84M) | Time:00:00.41 | Compositing | Operation 13-133
Fra:1 Mem:6340.16M (Peak 6719.84M) | Time:00:00.41 | Compositing | Operation 14-133
Fra:1 Mem:6340.16M (Peak 6719.84M) | Time:00:00.41 | Compositing | Operation 15-133
Fra:1 Mem:6466.72M (Peak 6719.84M) | Time:00:00.43 | Compositing | Operation 16-133
Fra:1 Mem:6466.72M (Peak 6719.84M) | Time:00:00.43 | Compositing | Operation 17-133
Fra:1 Mem:6466.72M (Peak 6719.84M) | Time:00:00.43 | Compositing | Operation 18-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.47 | Compositing | Operation 19-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.47 | Compositing | Operation 20-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.47 | Compositing | Operation 21-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.50 | Compositing | Operation 22-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.50 | Compositing | Operation 23-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.50 | Compositing | Operation 24-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.54 | Compositing | Operation 25-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.54 | Compositing | Operation 26-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.54 | Compositing | Operation 27-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.57 | Compositing | Operation 28-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.57 | Compositing | Operation 29-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.57 | Compositing | Operation 30-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.61 | Compositing | Operation 31-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.61 | Compositing | Operation 32-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.61 | Compositing | Operation 33-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.65 | Compositing | Operation 34-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.65 | Compositing | Operation 35-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.65 | Compositing | Operation 36-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.73 | Compositing | Operation 37-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.73 | Compositing | Operation 38-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.73 | Compositing | Operation 39-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.79 | Compositing | Operation 40-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.79 | Compositing | Operation 41-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.79 | Compositing | Operation 42-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.85 | Compositing | Operation 43-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.88 | Compositing | Operation 44-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.91 | Compositing | Operation 45-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.94 | Compositing | Operation 46-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.97 | Compositing | Operation 47-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:01.05 | Compositing | Operation 48-133
Fra:1 Mem:6213.59M (Peak 6719.84M) | Time:00:01.09 | Compositing | Operation 49-133
Fra:1 Mem:6213.59M (Peak 6719.84M) | Time:00:01.09 | Compositing | Operation 50-133
Fra:1 Mem:6593.28M (Peak 6719.84M) | Time:00:01.15 | Compositing | Operation 51-133
Fra:1 Mem:7099.53M (Peak 7099.53M) | Time:00:01.26 | Compositing | Operation 52-133
Fra:1 Mem:6719.84M (Peak 7226.09M) | Time:00:01.30 | Compositing | Operation 53-133
Fra:1 Mem:6719.84M (Peak 7226.09M) | Time:00:01.30 | Compositing | Operation 54-133
Fra:1 Mem:6719.84M (Peak 7226.09M) | Time:00:01.30 | Compositing | Operation 55-133
Fra:1 Mem:6719.84M (Peak 7226.09M) | Time:00:01.37 | Compositing | Operation 56-133
Fra:1 Mem:6719.84M (Peak 7226.09M) | Time:00:01.42 | Compositing | Operation 57-133
Fra:1 Mem:6719.84M (Peak 7226.09M) | Time:00:01.50 | Compositing | Operation 58-133
Fra:1 Mem:7226.09M (Peak 7226.09M) | Time:00:01.58 | Compositing | Operation 59-133
Fra:1 Mem:7605.78M (Peak 7732.34M) | Time:00:01.65 | Compositing | Operation 60-133
Fra:1 Mem:7226.09M (Peak 7732.34M) | Time:00:01.69 | Compositing | Operation 61-133
Fra:1 Mem:6846.41M (Peak 7732.34M) | Time:00:01.73 | Compositing | Operation 62-133
Fra:1 Mem:6846.41M (Peak 7732.34M) | Time:00:01.73 | Compositing | Operation 63-133
Fra:1 Mem:6846.41M (Peak 7732.34M) | Time:00:01.89 | Compositing | Operation 64-133
Fra:1 Mem:6846.41M (Peak 7732.34M) | Time:00:02.03 | Compositing | Operation 65-133
Fra:1 Mem:6719.84M (Peak 7732.34M) | Time:00:02.08 | Compositing | Operation 66-133
Fra:1 Mem:6719.84M (Peak 7732.34M) | Time:00:02.08 | Compositing | Operation 67-133
Fra:1 Mem:7099.53M (Peak 7732.34M) | Time:00:02.13 | Compositing | Operation 68-133
Fra:1 Mem:7099.53M (Peak 7732.34M) | Time:00:02.13 | Compositing | Operation 69-133
Fra:1 Mem:7099.53M (Peak 7732.34M) | Time:00:02.21 | Compositing | Operation 70-133
Fra:1 Mem:7099.53M (Peak 7732.34M) | Time:00:02.28 | Compositing | Operation 71-133
Fra:1 Mem:7099.53M (Peak 7732.34M) | Time:00:02.28 | Compositing | Operation 72-133
Fra:1 Mem:7226.09M (Peak 7732.34M) | Time:00:02.30 | Compositing | Operation 73-133
Fra:1 Mem:6846.41M (Peak 7732.34M) | Time:00:02.34 | Compositing | Operation 74-133
Fra:1 Mem:6719.84M (Peak 7732.34M) | Time:00:02.38 | Compositing | Operation 75-133
