Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_futureSim_refactored\blender\compositor\canonical_templates\proposal_and_interventions.blend"
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.09 | Compositing | Operation 124-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.09 | Compositing | Operation 125-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.12 | Compositing | Operation 126-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.12 | Compositing | Operation 127-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.14 | Compositing | Operation 128-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.14 | Compositing | Operation 129-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.17 | Compositing | Operation 130-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.17 | Compositing | Operation 131-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.19 | Compositing | Operation 132-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.19 | Compositing | Operation 133-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.21 | Compositing | Operation 134-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.21 | Compositing | Operation 135-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.24 | Compositing | Operation 136-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.24 | Compositing | Operation 137-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.26 | Compositing | Operation 138-151
Fra:1 Mem:8618.99M (Peak 8745.55M) | Time:00:04.26 | Compositing | Operation 139-151
Fra:1 Mem:8998.67M (Peak 9125.24M) | Time:00:04.31 | Compositing | Operation 140-151
Fra:1 Mem:9378.36M (Peak 9504.92M) | Time:00:04.36 | Compositing | Operation 141-151
Fra:1 Mem:9758.05M (Peak 9884.61M) | Time:00:04.41 | Compositing | Operation 142-151
Fra:1 Mem:10137.74M (Peak 10264.30M) | Time:00:04.46 | Compositing | Operation 143-151
Fra:1 Mem:10517.42M (Peak 10643.99M) | Time:00:04.51 | Compositing | Operation 144-151
Fra:1 Mem:10897.11M (Peak 11023.67M) | Time:00:04.55 | Compositing | Operation 145-151
Fra:1 Mem:11276.80M (Peak 11403.36M) | Time:00:04.60 | Compositing | Operation 146-151
Fra:1 Mem:11656.49M (Peak 11783.05M) | Time:00:04.65 | Compositing | Operation 147-151
Fra:1 Mem:12036.17M (Peak 12162.74M) | Time:00:04.70 | Compositing | Operation 148-151
Fra:1 Mem:12415.86M (Peak 12542.42M) | Time:00:04.75 | Compositing | Operation 149-151
Fra:1 Mem:12795.55M (Peak 12922.11M) | Time:00:04.80 | Compositing | Operation 150-151
Fra:1 Mem:13175.24M (Peak 13301.80M) | Time:00:04.87 | Compositing | Operation 151-151
Fra:1 Mem:13175.26M (Peak 19756.48M) | Time:00:07.58 | Compositing | Operation 152-151
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\proposal_and_interventions__20260413_111544__positive\proposal-recruit-rewild-larger-patch_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\proposal_and_interventions__20260413_111544__positive\proposal-release-control-reduce-canopy-pruning_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\proposal_and_interventions__20260413_111544__positive\proposal-release-control-eliminate-canopy-pruning_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\proposal_and_interventions__20260413_111544__positive\proposal-deploy-structure-adapt-utility-pole_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\proposal_and_interventions__20260413_111544__positive\proposal-deploy-structure-upgrade-feature_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\proposal_and_interventions__20260413_111544__positive\proposal-release-control-rejected_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\proposal_and_interventions__20260413_111544__positive\proposal-decay-buffer-feature_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\proposal_and_interventions__20260413_111544__positive\proposal-deploy-structure-translocate-log_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\proposal_and_interventions__20260413_111544__positive\proposal-decay-brace-feature_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\proposal_and_interventions__20260413_111544__positive\proposal-recruit-rewild-smaller-patch_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\proposal_and_interventions__20260413_111544__positive\proposal-colonise-enrich-envelope_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\proposal_and_interventions__20260413_111544__positive\proposal-colonise-larger-patches-rewild_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\proposal_and_interventions__20260413_111544__positive\proposal-colonise-roughen-envelope_0001.png'
Saved: 'D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\outputs\4.10\parade_timeline\proposal_and_interventions__20260413_111544__positive\_discard_render.png0001.png'
Time: 00:45.66 (Saving: 00:02.66)

[render_current_proposal_and_interventions] repathed 'EXR' -> parade_timeline__positive_state__8k.exr
[render_current_proposal_and_interventions] resolution 7680x4320 from parade_timeline__positive_state__8k.exr
[render_current_proposal_and_interventions] attached transient dummy camera
[render_current_proposal_and_interventions] rebuilt 'ProposalInterventionOutput' in-memory (13 slots)
[render_current_proposal_and_interventions] rendering animation (frame 1, 13 slots)...
[render_current_proposal_and_interventions] render done
[render_current_proposal_and_interventions] renamed proposal-colonise-enrich-envelope_0001.png -> proposal-colonise-enrich-envelope.png
[render_current_proposal_and_interventions] renamed proposal-colonise-larger-patches-rewild_0001.png -> proposal-colonise-larger-patches-rewild.png
[render_current_proposal_and_interventions] renamed proposal-colonise-roughen-envelope_0001.png -> proposal-colonise-roughen-envelope.png
[render_current_proposal_and_interventions] renamed proposal-decay-brace-feature_0001.png -> proposal-decay-brace-feature.png
[render_current_proposal_and_interventions] renamed proposal-decay-buffer-feature_0001.png -> proposal-decay-buffer-feature.png
[render_current_proposal_and_interventions] renamed proposal-deploy-structure-adapt-utility-pole_0001.png -> proposal-deploy-structure-adapt-utility-pole.png
[render_current_proposal_and_interventions] renamed proposal-deploy-structure-translocate-log_0001.png -> proposal-deploy-structure-translocate-log.png
[render_current_proposal_and_interventions] renamed proposal-deploy-structure-upgrade-feature_0001.png -> proposal-deploy-structure-upgrade-feature.png
[render_current_proposal_and_interventions] renamed proposal-recruit-rewild-larger-patch_0001.png -> proposal-recruit-rewild-larger-patch.png
[render_current_proposal_and_interventions] renamed proposal-recruit-rewild-smaller-patch_0001.png -> proposal-recruit-rewild-smaller-patch.png
[render_current_proposal_and_interventions] renamed proposal-release-control-eliminate-canopy-pruning_0001.png -> proposal-release-control-eliminate-canopy-pruning.png
[render_current_proposal_and_interventions] renamed proposal-release-control-reduce-canopy-pruning_0001.png -> proposal-release-control-reduce-canopy-pruning.png
[render_current_proposal_and_interventions] renamed proposal-release-control-rejected_0001.png -> proposal-release-control-rejected.png
[render_current_proposal_and_interventions] 13/13 slots present

Blender quit
Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_futureSim_refactored\blender\compositor\canonical_templates\proposal_and_interventions.blend"
Fra:1 Mem:6117.34M (Peak 6117.34M) | Time:00:01.36 | Rendering 1 / 64 samples
Fra:1 Mem:6117.34M (Peak 6117.34M) | Time:00:01.36 | Rendering 25 / 64 samples
Fra:1 Mem:6117.34M (Peak 6117.34M) | Time:00:01.41 | Rendering 50 / 64 samples
Fra:1 Mem:6117.34M (Peak 6117.34M) | Time:00:01.41 | Rendering 64 / 64 samples
Fra:1 Mem:6087.60M (Peak 6623.59M) | Time:00:02.32 | Compositing
Fra:1 Mem:6087.61M (Peak 6623.59M) | Time:00:02.34 | Compositing | Initializing execution
Fra:1 Mem:6087.67M (Peak 6623.59M) | Time:00:02.34 | Compositing | Operation 2-151
Fra:1 Mem:6087.67M (Peak 6623.59M) | Time:00:02.34 | Compositing | Operation 3-151
Fra:1 Mem:6214.30M (Peak 6623.59M) | Time:00:02.37 | Compositing | Operation 4-151
Fra:1 Mem:6214.30M (Peak 6623.59M) | Time:00:02.37 | Compositing | Operation 5-151
Fra:1 Mem:6214.30M (Peak 6623.59M) | Time:00:02.37 | Compositing | Operation 6-151
Fra:1 Mem:6340.86M (Peak 6623.59M) | Time:00:02.42 | Compositing | Operation 7-151
Fra:1 Mem:6340.86M (Peak 6623.59M) | Time:00:02.42 | Compositing | Operation 8-151
Fra:1 Mem:6340.86M (Peak 6623.59M) | Time:00:02.42 | Compositing | Operation 9-151
Fra:1 Mem:6340.86M (Peak 6623.59M) | Time:00:02.48 | Compositing | Operation 10-151
Fra:1 Mem:6340.86M (Peak 6623.59M) | Time:00:02.52 | Compositing | Operation 11-151
Fra:1 Mem:6340.86M (Peak 6623.59M) | Time:00:02.52 | Compositing | Operation 12-151
Fra:1 Mem:6340.86M (Peak 6623.59M) | Time:00:02.52 | Compositing | Operation 13-151
Fra:1 Mem:6720.55M (Peak 6847.11M) | Time:00:02.59 | Compositing | Operation 14-151
Fra:1 Mem:7226.80M (Peak 7226.80M) | Time:00:02.73 | Compositing | Operation 15-151
Fra:1 Mem:7226.80M (Peak 7226.80M) | Time:00:02.73 | Compositing | Operation 16-151
Fra:1 Mem:7226.80M (Peak 7226.80M) | Time:00:02.73 | Compositing | Operation 17-151
Fra:1 Mem:7353.36M (Peak 7353.36M) | Time:00:02.75 | Compositing | Operation 18-151
Fra:1 Mem:7353.36M (Peak 7353.36M) | Time:00:02.75 | Compositing | Operation 19-151
Fra:1 Mem:7353.36M (Peak 7353.36M) | Time:00:02.75 | Compositing | Operation 20-151
Fra:1 Mem:7353.36M (Peak 7353.36M) | Time:00:02.75 | Compositing | Operation 21-151
Fra:1 Mem:7353.36M (Peak 7353.36M) | Time:00:02.75 | Compositing | Operation 22-151
Fra:1 Mem:7353.36M (Peak 7353.36M) | Time:00:02.75 | Compositing | Operation 23-151
Fra:1 Mem:7353.36M (Peak 7353.36M) | Time:00:02.75 | Compositing | Operation 24-151
Fra:1 Mem:7479.92M (Peak 7479.92M) | Time:00:02.78 | Compositing | Operation 25-151
Fra:1 Mem:7479.92M (Peak 7479.92M) | Time:00:02.78 | Compositing | Operation 26-151
Fra:1 Mem:7479.92M (Peak 7479.92M) | Time:00:02.78 | Compositing | Operation 27-151
Fra:1 Mem:7479.92M (Peak 7479.92M) | Time:00:02.78 | Compositing | Operation 28-151
Fra:1 Mem:7479.92M (Peak 7479.92M) | Time:00:02.78 | Compositing | Operation 29-151
Fra:1 Mem:7479.92M (Peak 7479.92M) | Time:00:02.78 | Compositing | Operation 30-151
